,Name,EmployeeNumber,PhoneNumber,JobRole,WorkLocation,Salary,Username,Password,EmployeeManager
48,Michael Barajas,62,(203)-505-6972,Sales Executive,CT,69264,MicBarajas62,Password123,1786
49,Melissa Owens,63,(725)-040-7287,Laboratory Technician,CT,27228,MelOwens63,Password123,1866
50,Mr. Michael,64,(328)-385-3994,Laboratory Technician,MA,64572,Mr.Michael64,Password123,1306
51,Michelle Kane,65,(416)-896-8075,Laboratory Technician,MA,41292,MicKane65,Password123,2022
52,Mia Mcknight,68,(318)-793-1746,Sales Executive,MA,65448,MiaMcknight68,Password123,1336
53,Ronald Russell,70,(153)-680-6956,Healthcare Representative,MA,118608,RonRussell70,Password123,1191
54,George Murphy,72,(312)-719-8058,Sales Executive,NY,49884,GeoMurphy72,Password123,444
55,Joseph Phillips,73,(936)-720-2815,Research Director,MD,161496,JosPhillips73,Password123,374
56,Amanda English,74,(104)-675-7040,Sales Executive,MA,108828,AmaEnglish74,Password123,820
57,David Butler,75,(649)-703-1387,Laboratory Technician,NY,48168,DavButler75,Password123,568
58,Robert Farrell,76,(755)-526-0695,Laboratory Technician,MN,70980,RobFarrell76,Password123,851
59,Jeffrey Jordan,77,(570)-434-6790,Manufacturing Director,MA,71916,JefJordan77,Password123,1338
60,Catherine Scott,78,(328)-760-1901,Manufacturing Director,MN,73944,CatScott78,Password123,473
61,Adrian Hunt,79,(753)-259-6439,Laboratory Technician,MN,28872,AdrHunt79,Password123,1900
62,Lauren Graham,80,(393)-306-9594,Research Director,CT,224880,LauGraham80,Password123,429
63,Christopher Rodriguez,81,(734)-227-3496,Sales Executive,MD,91644,ChrRodriguez81,Password123,809
64,Jeremy Douglas,83,(687)-016-1148,Healthcare Representative,MN,121152,JerDouglas83,Password123,429
65,Diane Roy,84,(997)-742-9961,Manager,MA,177072,DiaRoy84,Password123,NaN
66,Adam Collier,85,(122)-425-2949,Manufacturing Director,MD,77988,AdaCollier85,Password123,1352
67,Albert Gonzalez,86,(861)-370-5022,HR,MA,116688,AlbGonzalez86,Password123,671
68,Donald Haas,88,(459)-619-6010,Research Scientist,NY,26328,DonHaas88,Password123,1973
69,Alexis Miller,90,(255)-128-4096,Research Scientist,MN,40656,AleMiller90,Password123,1306
70,John Vaughn,91,(219)-180-7558,Sales Executive,MD,65676,JohVaughn91,Password123,664
71,Dr. Victoria,94,(128)-305-4904,Research Scientist,MN,32436,Dr.Victoria94,Password123,264
72,Julie Snyder,95,(102)-609-6969,Research Scientist,MA,30012,JulSnyder95,Password123,1029
73,Lindsey Fisher,96,(711)-902-4919,Research Scientist,MD,74640,LinFisher96,Password123,1352
74,Brandon Burton,97,(329)-405-8113,Laboratory Technician,CT,36456,BraBurton97,Password123,1352
75,Jody Wallace,98,(996)-506-5402,Manufacturing Director,MA,53088,JodWallace98,Password123,410
76,Brenda Smith,100,(879)-204-9757,Sales Executive,NY,51744,BreSmith100,Password123,1215
77,Rachel Sutton,101,(046)-342-0817,Research Director,NY,158940,RacSutton101,Password123,992
78,Robert Simmons,102,(074)-470-7841,Research Director,MD,163968,RobSimmons102,Password123,1045
79,James Lopez,103,(237)-297-0943,Human Resources,NY,60252,JamLopez103,Password123,1352
80,Christopher Mckinney,104,(024)-254-4436,Laboratory Technician,CT,61512,ChrMckinney104,Password123,84
81,Kevin Harris,105,(911)-337-6507,Research Scientist,NY,34308,KevHarris105,Password123,820
82,Terry Wiley,106,(415)-092-8464,Sales Executive,NY,122868,TerWiley106,Password123,558
83,Travis Bennett,107,(023)-508-9690,Research Scientist,MN,63948,TraBennett107,Password123,505
84,David Smith,110,(073)-173-1803,Manufacturing Director,MN,51900,DavSmith110,Password123,1520
85,Christina Sawyer,112,(628)-575-1683,HR,MD,87120,ChrSawyer112,Password123,1201
86,Chelsea Armstrong,113,(229)-614-6268,Sales Representative,NY,27864,CheArmstrong113,Password123,1124
87,William Jones,116,(988)-845-8366,Laboratory Technician,MA,24900,WilJones116,Password123,1045
88,Dennis Buchanan,117,(885)-138-8476,Healthcare Representative,NY,49824,DenBuchanan117,Password123,734
89,Michelle Hess,118,(107)-178-3088,Sales Executive,MD,115428,MicHess118,Password123,787
90,Phillip Jensen,119,(787)-914-6130,Healthcare Representative,MN,162036,PhiJensen119,Password123,1277
91,Jonathan Miller,120,(882)-879-8544,Sales Executive,MD,65292,JonMiller120,Password123,1866
92,Michael Martin,121,(065)-130-0006,Sales Executive,CT,62508,MicMartin121,Password123,158
93,Mary Anderson,124,(834)-978-8594,Healthcare Representative,MD,128076,MarAnderson124,Password123,664
94,Sarah Smith,125,(191)-710-7660,Sales Executive,MD,60120,SarSmith125,Password123,1938
95,Ian Mercado,126,(421)-124-2229,Research Director,NY,162588,IanMercado126,Password123,1938
96,Katherine Brock,128,(491)-609-4876,Sales Executive,MA,59988,KatBrock128,Password123,158
97,Stacy Elliott,129,(348)-554-1313,Sales Executive,MD,50652,StaElliott129,Password123,1204
98,Ruth Lawson,131,(654)-898-5824,Sales Executive,MN,166464,RutLawson131,Password123,1045
99,Joshua Park,132,(180)-397-4665,Laboratory Technician,NY,24504,JosPark132,Password123,1938
100,Tracy Vance,133,(928)-535-3353,Human Resources,CT,24876,TraVance133,Password123,1306
101,Anthony Byrd,134,(322)-817-9039,Research Scientist,CT,35472,AntByrd134,Password123,1280
102,Lance Barron,137,(191)-168-8108,Laboratory Technician,CT,35112,LanBarron137,Password123,84
103,Dawn Williams,138,(476)-694-7683,Research Scientist,NY,57708,DawWilliams138,Password123,1201
104,Oscar Griffin,139,(513)-377-0399,Healthcare Representative,MN,61956,OscGriffin139,Password123,1288
105,Laura Johnston,140,(182)-359-1862,Manager,MA,226128,LauJohnston140,Password123,NaN
106,Brandon Cook,141,(580)-471-6522,Research Director,MD,218064,BraCook141,Password123,569
107,Debra Graham,142,(661)-875-4360,Sales Executive,NY,68928,DebGraham142,Password123,23
108,Tracy Chavez,143,(261)-241-4785,Research Scientist,CT,34668,TraChavez143,Password123,158
109,Brittany Smith,144,(902)-892-6745,Laboratory Technician,MA,34452,BriSmith144,Password123,1282
110,Christopher Brooks,145,(450)-002-6912,Healthcare Representative,MD,89808,ChrBrooks145,Password123,1595
111,Debra Hall,147,(664)-417-9850,Laboratory Technician,MD,72888,DebHall147,Password123,226
112,Courtney Thomas,148,(663)-463-5941,Manager,MA,207936,CouThomas148,Password123,NaN
113,Jessica Spencer,150,(494)-339-0881,Laboratory Technician,MD,33288,JesSpencer150,Password123,1677
114,Lauren Zimmerman,151,(354)-938-4965,Research Scientist,MA,54060,LauZimmerman151,Password123,1116
115,Jennifer Lozano,152,(457)-351-1871,Sales Executive,CT,89136,JenLozano152,Password123,1824
116,Michelle Castro,153,(341)-429-4724,Manager,CT,139572,MicCastro153,Password123,NaN
117,Melissa Parker,154,(092)-043-1053,Sales Executive,MA,116856,MelParker154,Password123,1866
118,Christina Fisher,155,(759)-326-2601,Laboratory Technician,MN,34020,ChrFisher155,Password123,531
119,Katherine Hart,158,(512)-411-1754,Manager,MD,203508,KatHart158,Password123,NaN
120,Jodi Paul,159,(042)-166-6854,Research Scientist,MN,31356,JodPaul159,Password123,505
121,Richard James,160,(293)-417-3135,Sales Executive,NY,73752,RicJames160,Password123,1677
122,Adrian Anderson,161,(285)-052-6617,Research Scientist,NY,59556,AdrAnderson161,Password123,1038
123,Andrew Diaz,162,(178)-289-9241,Research Director,NY,234444,AndDiaz162,Password123,1215
124,Kenneth Hartman,163,(123)-712-8997,Sales Executive,MA,74064,KenHartman163,Password123,1321
125,Suzanne Young,164,(477)-628-4590,Research Scientist,CT,28416,SuzYoung164,Password123,1215
126,Gerald Moore,165,(223)-379-2338,Healthcare Representative,CT,123744,GerMoore165,Password123,1215
127,Joseph Brooks,167,(517)-754-2412,Sales Representative,MD,20100,JosBrooks167,Password123,38
128,Monica Clark,169,(330)-654-4397,Laboratory Technician,MA,30276,MonClark169,Password123,582
129,Kristin Carroll,170,(490)-469-8992,Manufacturing Director,CT,78804,KriCarroll170,Password123,428
130,Steven Hurst,171,(119)-441-3786,Research Scientist,MD,56868,SteHurst171,Password123,23
131,Jasmine Hodges,174,(507)-038-5769,HR,MA,110496,JasHodges174,Password123,2022
132,Jeremy Smith,175,(609)-241-3858,Sales Executive,MN,54708,JerSmith175,Password123,1824
133,Peggy Nunez,176,(139)-083-9877,Sales Executive,MD,98268,PegNunez176,Password123,671
134,Robert Winters,177,(126)-283-2758,Human Resources,CT,35304,RobWinters177,Password123,1029
135,Brian Harris,178,(476)-288-5907,Manufacturing Director,CT,59292,BriHarris178,Password123,1527
136,Lisa Murray,179,(778)-625-7419,Manufacturing Director,MN,127800,LisMurray179,Password123,1280
137,Beverly Clark,182,(524)-232-9172,Sales Executive,MA,70824,BevClark182,Password123,1740
138,Kristy Vargas,183,(193)-738-0398,Sales Executive,NY,103668,KriVargas183,Password123,1516
139,Erin Peters,184,(851)-899-7978,Human Resources,MD,76164,EriPeters184,Password123,158
140,Dana Lucero,190,(502)-539-8737,Laboratory Technician,MD,50400,DanLucero190,Password123,327
141,Kevin Juarez,192,(427)-934-2576,Research Scientist,CT,41424,KevJuarez192,Password123,809
142,Ryan Smith,193,(431)-966-9929,Research Scientist,MD,51804,RyaSmith193,Password123,851
143,Adam Glass,194,(333)-910-8316,Research Scientist,MA,31584,AdaGlass194,Password123,327
144,Theodore Thomas,195,(744)-589-8941,Sales Executive,CT,56016,TheThomas195,Password123,1256
145,Mr. Joseph,197,(584)-823-7956,Research Scientist,NY,38448,Mr.Joseph197,Password123,1277
146,Jeffrey Wilson,198,(065)-274-7036,Laboratory Technician,CT,32640,JefWilson198,Password123,374
147,Laura Duncan,199,(771)-853-0067,Manager,NY,206172,LauDuncan199,Password123,NaN
148,Ashley Hatfield,200,(233)-317-7264,Laboratory Technician,MN,26856,AshHatfield200,Password123,1677
149,Brandi Rodriguez,201,(524)-159-6299,Laboratory Technician,MD,17796,BraRodriguez201,Password123,1824
150,Dr. Carla,202,(384)-892-9869,Research Scientist,MA,67260,Dr.Carla202,Password123,1824
151,Jonathan Friedman,204,(413)-322-2573,HR,MN,87540,JonFriedman204,Password123,253
152,Edward Vazquez,205,(278)-633-3346,Sales Representative,MD,27672,EdwVazquez205,Password123,473
153,Jennifer Cruz,206,(768)-055-9603,Laboratory Technician,CT,28176,JenCruz206,Password123,1045
154,Deborah West,207,(928)-591-1263,Sales Executive,MD,107976,DebWest207,Password123,1677
155,Jamie Harrison,208,(809)-762-2124,Manufacturing Director,NY,51828,JamHarrison208,Password123,429
156,Daniel Rivera,211,(045)-365-9947,HR,CT,73584,DanRivera211,Password123,820
157,Mr. Eric,214,(292)-311-4835,Research Scientist,MN,40152,Mr.Eric214,Password123,569
158,Ian Thomas,215,(961)-464-8373,Sales Executive,MN,130260,IanThomas215,Password123,1677
159,Michael Cross,216,(014)-266-8230,Sales Representative,MN,26772,MicCross216,Password123,1973
160,Monique Brewer,217,(216)-398-3342,Research Scientist,NY,27876,MonBrewer217,Password123,1191
161,Larry Briggs,218,(465)-466-5090,Research Scientist,CT,24288,LarBriggs218,Password123,582
162,Victoria Scott,221,(467)-112-2258,Research Scientist,MA,32556,VicScott221,Password123,734
163,Mr. Bruce,223,(036)-895-1291,Healthcare Representative,MA,113268,Mr.Bruce223,Password123,664
164,Miguel Smith,224,(479)-696-7732,Research Scientist,MN,30792,MigSmith224,Password123,1352
165,Christopher Rodriguez,226,(272)-054-8216,Manager,MN,239112,ChrRodriguez226,Password123,NaN
166,Jonathan Castillo,227,(720)-462-8369,Research Scientist,MA,29412,JonCastillo227,Password123,298
167,Morgan Ramirez,228,(008)-500-0403,Sales Executive,NY,113028,MorRamirez228,Password123,1740
168,Jacob Barron,230,(321)-376-6143,Sales Executive,CT,104232,JacBarron230,Password123,32
169,Sean Vance,231,(110)-234-0494,Research Scientist,NY,36456,SeaVance231,Password123,38
170,Joe Roberts,233,(674)-231-8927,Research Scientist,CT,36696,JoeRoberts233,Password123,323
171,Joseph Robinson,235,(509)-925-6872,Sales Representative,CT,27900,JosRobinson235,Password123,428
172,Andrea Baker,238,(692)-670-6423,Laboratory Technician,NY,25056,AndBaker238,Password123,820
173,Christopher Suarez,239,(512)-932-6114,Laboratory Technician,NY,36864,ChrSuarez239,Password123,319
174,Mike Lewis,240,(008)-183-6345,Sales Executive,MD,60072,MikLewis240,Password123,734
175,Angela Armstrong,241,(590)-592-5160,Research Scientist,NY,51084,AngArmstrong241,Password123,1201
176,Samuel Johnston,242,(169)-153-3073,Research Scientist,CT,30000,SamJohnston242,Password123,1307
177,Austin Schaefer,243,(824)-250-8161,Laboratory Technician,MA,13224,AusSchaefer243,Password123,148
178,Miguel Travis,244,(268)-767-0619,Sales Executive,CT,125436,MigTravis244,Password123,1191
179,Christian Thomas,245,(402)-378-6358,Laboratory Technician,MN,27456,ChrThomas245,Password123,1516
180,Jason Kirby,246,(490)-426-8778,Research Scientist,MD,47148,JasKirby246,Password123,1215
181,Christine Porter,247,(225)-126-0990,Research Scientist,CT,27732,ChrPorter247,Password123,363
182,Jason Gordon,248,(220)-079-3181,Sales Representative,NY,37680,JasGordon248,Password123,1334
183,Rhonda Harvey,249,(672)-768-5153,Laboratory Technician,NY,44280,RhoHarvey249,Password123,787
184,Jason Robinson,250,(457)-464-4392,Manufacturing Director,MN,53400,JasRobinson250,Password123,264
185,Angela Sosa,252,(979)-415-0739,Research Scientist,MA,33072,AngSosa252,Password123,84
186,Melissa Frazier,253,(187)-046-5939,Manager,MD,228396,MelFrazier253,Password123,NaN
187,Sandra Boyd,254,(444)-271-4290,Research Director,MN,224664,SanBoyd254,Password123,1045
188,Cole Fisher,256,(981)-449-8431,Manufacturing Director,MD,114564,ColFisher256,Password123,981
189,Laura Bell,258,(014)-655-8016,Healthcare Representative,NY,164808,LauBell258,Password123,253
190,Corey Williams,259,(695)-045-5113,Manager,MD,239988,CorWilliams259,Password123,NaN
191,Kelly Medina,260,(993)-389-4973,Research Scientist,CT,27348,KelMedina260,Password123,428
192,Heather Mckee,261,(787)-572-3927,Manufacturing Director,MD,70992,HeaMckee261,Password123,992
193,Douglas Williams,262,(506)-885-0615,Research Scientist,MD,25068,DouWilliams262,Password123,1124
194,Dr. Julia,264,(324)-612-3251,Manager,CT,201504,Dr.Julia264,Password123,NaN
195,Bryan Stewart,267,(699)-879-9293,Research Scientist,CT,42768,BryStewart267,Password123,1282
196,Danny Smith,269,(127)-150-2352,Laboratory Technician,NY,53100,DanSmith269,Password123,1550
197,Stephen Wall,270,(371)-008-7691,Manufacturing Director,NY,63180,SteWall270,Password123,259
198,Joseph Martinez,271,(059)-502-7740,Manufacturing Director,MD,78636,JosMartinez271,Password123,329
199,Mary Parker,273,(754)-087-1647,Manufacturing Director,MN,75132,MarParker273,Password123,1191
200,Adam Turner,274,(217)-812-9155,Manufacturing Director,MD,51576,AdaTurner274,Password123,264
201,Joseph Ramos,275,(387)-144-7226,Manufacturing Director,MD,81648,JosRamos275,Password123,259
202,Allen Larson,277,(948)-277-0448,Research Scientist,MD,45780,AllLarson277,Password123,1280
203,Robert Barnes,281,(729)-802-2149,Laboratory Technician,MA,32892,RobBarnes281,Password123,38
204,Toni Glass,282,(398)-258-7739,Healthcare Representative,MA,80076,TonGlass282,Password123,1516
205,Austin Branch,283,(303)-296-0091,Sales Executive,MD,91668,AusBranch283,Password123,410
206,William Moore,284,(329)-450-2704,Research Scientist,MN,27936,WilMoore284,Password123,1665
207,Kelsey Goodwin,286,(920)-335-5663,Laboratory Technician,MN,25836,KelGoodwin286,Password123,664
208,Miss Cynthia,287,(245)-504-0282,Healthcare Representative,CT,58512,MisCynthia287,Password123,319
209,Felicia Smith,288,(844)-592-9009,Healthcare Representative,MA,112752,FelSmith288,Password123,1740
210,Jennifer Bennett,291,(701)-575-5990,Sales Executive,MN,124800,JenBennett291,Password123,264
211,Lauren Henson,292,(901)-692-4549,Manufacturing Director,NY,101688,LauHenson292,Password123,1602
212,Douglas Hoffman,293,(164)-984-7608,HR,NY,119772,DouHoffman293,Password123,505
213,Kyle Todd,296,(541)-522-3461,Research Director,MA,149880,KylTodd296,Password123,1677
214,Christina Marquez,297,(779)-235-6018,Research Scientist,NY,31884,ChrMarquez297,Password123,731
215,Jenna Smith,298,(061)-126-9770,Manager,MD,163092,JenSmith298,Password123,NaN
216,Lisa Meyer,299,(396)-575-0537,Sales Executive,CT,80352,LisMeyer299,Password123,1321
217,Isaac Baker,300,(103)-068-4288,Research Scientist,MD,24696,IsaBaker300,Password123,1306
218,Stephanie Wagner,302,(586)-608-1227,Sales Executive,NY,106380,SteWagner302,Password123,428
219,Tammy Gilbert,303,(331)-233-7499,Sales Executive,NY,71280,TamGilbert303,Password123,976
220,Lauren Diaz,304,(060)-676-1223,Laboratory Technician,MA,70968,LauDiaz304,Password123,734
221,Christopher Kelly,305,(523)-887-4160,Research Scientist,MN,31464,ChrKelly305,Password123,1045
222,Sara Baker,306,(734)-072-3624,Research Director,MD,146220,SarBaker306,Password123,625
223,Larry Chung,307,(451)-990-5165,Sales Executive,NY,127308,LarChung307,Password123,820
224,Bobby Hardy,308,(410)-522-2355,Manufacturing Director,CT,52140,BobHardy308,Password123,569
225,Cassandra Hodge,309,(308)-619-7416,Research Scientist,MN,26124,CasHodge309,Password123,1665
226,Christian Rojas,311,(129)-351-4735,Sales Representative,NY,33516,ChrRojas311,Password123,1665
227,Mackenzie Mills,312,(599)-811-9277,Sales Executive,MN,95016,MacMills312,Password123,148
228,Courtney Gardner,314,(343)-645-9573,Sales Executive,CT,105468,CouGardner314,Password123,84
229,Sean Williams,315,(925)-010-8544,Research Scientist,CT,28668,SeaWilliams315,Password123,444
230,Christopher Acosta,316,(537)-406-9419,Laboratory Technician,NY,38544,ChrAcosta316,Password123,23
231,Calvin Smith,319,(230)-944-8310,Manager,MD,230784,CalSmith319,Password123,NaN
232,Rebecca Daniels,321,(367)-100-9196,Human Resources,CT,27204,RebDaniels321,Password123,1550
233,Robert Wright,323,(967)-614-0528,Manager,NY,234204,RobWright323,Password123,NaN
234,Anthony Maldonado,325,(491)-333-0467,Laboratory Technician,NY,29232,AntMaldonado325,Password123,264
235,Jack Delgado,327,(030)-858-4978,Manager,MD,192768,JacDelgado327,Password123,NaN
236,John Mitchell,328,(257)-335-0849,Laboratory Technician,MD,32484,JohMitchell328,Password123,444
237,Patricia Robertson,329,(296)-594-2156,Manager,MA,228816,PatRobertson329,Password123,NaN
238,Sally Goodwin,330,(486)-333-9293,Sales Representative,NY,47172,SalGoodwin330,Password123,1074
239,Melanie Adams,331,(098)-634-3932,Laboratory Technician,NY,44760,MelAdams331,Password123,1116
240,Peter Myers,332,(784)-368-6798,Laboratory Technician,MN,26784,PetMyers332,Password123,905
241,Jamie Price,333,(335)-291-6090,Sales Executive,MN,53580,JamPrice333,Password123,429
242,Derrick Savage,334,(771)-665-0129,Research Scientist,MD,36864,DerSavage334,Password123,1282
243,Luis Wu,335,(640)-625-7498,Research Scientist,MD,39828,LuiWu335,Password123,226
244,Erica Martin,336,(722)-024-4975,Manager,NY,230424,EriMartin336,Password123,NaN
245,Eric Taylor,337,(934)-046-2102,Research Director,MA,164100,EriTaylor337,Password123,664
246,Heather Rasmussen,338,(772)-153-6993,Research Scientist,CT,34932,HeaRasmussen338,Password123,323
247,Jennifer Ball,339,(110)-772-2769,Manufacturing Director,MA,71484,JenBall339,Password123,981
248,William Brooks,340,(379)-454-0792,Research Scientist,NY,47040,WilBrooks340,Password123,1204
249,William Williams,341,(300)-010-0478,Manufacturing Director,MN,77208,WilWilliams341,Password123,905
250,Sharon Washington,342,(773)-015-7190,Manufacturing Director,MA,120576,ShaWashington342,Password123,329
251,David Hayes,343,(293)-819-3355,Healthcare Representative,MA,131256,DavHayes343,Password123,1578
252,Dr. Kevin,346,(646)-943-3757,Research Scientist,MN,28080,Dr.Kevin346,Password123,546
253,Brian Porter,347,(952)-355-4208,Research Scientist,CT,78540,BriPorter347,Password123,1527
254,Dustin Andrews,349,(722)-384-4297,Sales Executive,MD,83172,DusAndrews349,Password123,787
255,Samuel Ruiz,350,(719)-013-7123,Manufacturing Director,MD,58776,SamRuiz350,Password123,992
256,Jessica Hayes,351,(175)-539-0984,Laboratory Technician,MD,31116,JesHayes351,Password123,23
257,Amanda Tucker,352,(817)-159-2003,Research Director,MD,233232,AmaTucker352,Password123,1677
258,Krista Nichols,353,(788)-059-9133,Research Scientist,MD,32676,KriNichols353,Password123,429
259,Janice Clements,355,(437)-724-5236,Laboratory Technician,NY,41748,JanClements355,Password123,1644
260,Samantha Brock,359,(482)-857-4112,Laboratory Technician,MD,33528,SamBrock359,Password123,1900
261,Stephanie Brady,361,(852)-406-1833,Sales Executive,MD,62988,SteBrady361,Password123,1665
262,Allison Mitchell,362,(887)-335-0017,Laboratory Technician,MD,26112,AllMitchell362,Password123,1973
263,Ashley Hart,363,(731)-791-4119,Manager,MA,202464,AshHart363,Password123,NaN
264,Ivan Griffin,364,(766)-447-9933,Laboratory Technician,MD,41820,IvaGriffin364,Password123,2022
265,Antonio Gonzalez,366,(241)-493-6033,Sales Executive,CT,79728,AntGonzalez366,Password123,531
266,Crystal Torres,367,(211)-912-4901,Healthcare Representative,CT,66984,CryTorres367,Password123,381
267,Christopher Woodard,369,(754)-841-2346,Healthcare Representative,NY,48000,ChrWoodard369,Password123,444
268,John Woodard,372,(522)-889-6387,Healthcare Representative,MD,161952,JohWoodard372,Password123,1029
269,Leonard Peterson,373,(339)-497-1104,Laboratory Technician,CT,38520,LeoPeterson373,Password123,298
270,Carlos Harrison,374,(839)-443-3457,Manager,MA,228540,CarHarrison374,Password123,NaN
271,Carol Martin,376,(002)-529-9864,Manager,MD,142188,CarMartin376,Password123,NaN
272,Katrina Simmons,377,(834)-166-3186,Research Scientist,MD,24840,KatSimmons377,Password123,1124
273,Joanna Johns,378,(654)-404-7248,Sales Executive,CT,78024,JoaJohns378,Password123,1352
274,Robert Patel,379,(221)-725-6650,Research Scientist,CT,38760,RobPatel379,Password123,1256
275,Christina Lopez,380,(878)-783-9844,Research Director,MA,163236,ChrLopez380,Password123,319
276,Manuel Deleon,381,(957)-624-8446,Manager,CT,143952,ManDeleon381,Password123,NaN
277,Nicole Walker,382,(705)-597-7227,Sales Executive,NY,67260,NicWalker382,Password123,1215
278,Gary Rose,384,(564)-019-5403,Manufacturing Director,MN,76764,GarRose384,Password123,410
279,David Johnson,385,(196)-136-4295,Research Director,MA,229728,DavJohnson385,Password123,1201
280,Shannon Shields,386,(579)-198-2401,Research Director,NY,211008,ShaShields386,Password123,1336
281,Haley Morales,387,(616)-303-5376,Sales Executive,MN,58884,HalMorales387,Password123,664
282,William Newton,388,(726)-564-0942,Sales Executive,NY,54648,WilNewton388,Password123,1338
283,Richard Young,389,(753)-156-9106,Laboratory Technician,CT,64980,RicYoung389,Password123,1277
284,Cindy Butler,390,(995)-695-2139,Healthcare Representative,MA,56892,CinButler390,Password123,38
